plate,mjd,fiberid,specobjid,bestobjid,elodiervfinal,teffadop,fehadop,loggadop,teffspec,fehspec,psfmag_g,psfmag_r,psfmag_i,psfmagErr_g,psfmagErr_r,psfmagErr_i,ra,dec,u,g,r,i,z,specobjid1,class,subclass,z1,plate1,mjd1,fiberid1,elodieBV,elodieTEff,elodieLogG,elodieFeH,elodieZ,elodieZErr
2946,54506,68,3316919892854204416,1237651274026320271,79.27044,5251.479,-0.5898961,4.53019,5231.899,-0.5806034,18.36997,17.725,17.47666,0.01300787,0.01640413,0.02106366,111.976688627911,37.2184619798177,20.05649,18.35764,17.71257,17.45589,17.33426,3316919892854204416,STAR,K1,0.0002317099,2946,54506,68,0.811,5059,4.45,-0.16,0.0002400675,4.588624E-06
2946,54506,69,3316920167732111360,1237651496827027912,37.23669,5314.303,-0.444797,4.362194,5276.277,-0.4411081,19.48106,18.85031,18.62032,0.02069795,0.01233249,0.01463067,112.103651588681,36.8601416358364,21.0153,19.47745,18.85426,18.62767,18.55248,3316920167732111360,STAR,K1,9.077526E-05,2946,54506,69,0.786,5221,4.5,-0.24,9.985804E-05,1.099784E-05
2946,54506,70,3316920442610018304,1237651496827093389,-22.12606,6073.196,-1.189318,3.710035,6066.845,-1.201891,18.90562,18.53983,18.38774,0.01604908,0.01145069,0.01276522,112.021458251877,37.0360875354895,19.88818,18.90398,18.53781,18.39041,18.33868,3316920442610018304,STAR,F5,-0.000112622,2946,54506,70,0,6000,4,-1.5,-9.815476E-05,1.612059E-05
2946,54506,73,3316921267243739136,1237651274026385740,45.00699,6032.673,-0.2109812,4.082902,6015.949,-0.2109812,18.82622,18.38618,17.69727,2.667591,2.293888,0.4749781,112.086859684356,37.4240882915382,24.63466,18.70489,18.29768,17.51402,18.82195,3316921267243739136,STAR,G2,9.801874E-05,2946,54506,73,0.564,5651,4.42,-0.32,0.000125777,4.653134E-06
2946,54506,76,3316922091877459968,1237651274026385896,-23.53777,5219.937,-1.271646,2.942554,5190.532,-1.290797,18.55435,17.96105,17.73862,0.01561985,0.01540249,0.01859274,111.991290145576,37.3884549163979,19.90773,18.56006,17.96606,17.74292,17.60542,3316922091877459968,STAR,F9,-0.0001132531,2946,54506,76,0.603,5474,4.16,-0.67,-0.0001028637,8.24397E-06
2946,54506,78,3316922641633273856,1237651274026451280,-37.25319,4812.705,-0.5256987,2.678812,4870.957,-0.5256987,17.19555,16.33984,15.98454,0.01248776,0.01549083,0.01678464,112.099612914615,37.4624787492985,19.16131,17.18589,16.33288,15.98744,15.7799,3316922641633273856,STAR,K1,-0.0001411554,2946,54506,78,0.968,4575,2.89,-0.54,-0.0001486134,3.266511E-06
2946,54506,79,3316922916511180800,1237651274026450998,-43.80508,5287.336,-0.9637331,3.911352,5423.074,-1.144184,19.38997,18.33597,17.86868,0.9336675,0.4928418,0.3888244,112.057813722202,37.486135241232,22.04085,19.35296,18.32523,17.84789,17.98216,3316922916511180800,STAR,F9,-0.0001854935,2946,54506,79,0.764,5132,4.34,-0.61,-0.0001704682,3.95246E-06
2946,54506,80,3316923191389087744,1237651274026320380,15.62157,4513.003,-0.1722012,4.19376,4510.956,-0.1722012,17.76091,16.63466,16.27652,0.01235641,0.01586972,0.02063923,112.000544747382,37.3021676164134,20.21577,17.76517,16.63931,16.26645,16.03736,3316923191389087744,STAR,K5,2.34222E-05,2946,54506,80,1.176,4246,4.24,0,2.775778E-05,3.256342E-06
2946,54506,89,3316925665290250240,1237651274026123581,-96.29118,7367.517,-1.404599,3.843377,7211.385,-1.346436,19.67201,19.57575,19.60517,0.01957355,0.02299847,0.02528944,111.632311589848,36.820001793114,20.71475,19.66085,19.5758,19.59603,19.63128,3316925665290250240,STAR,A0,-0.0004156625,2946,54506,89,0.207,7518,4.242,-0.3,-0.000345543,6.211948E-05
2946,54506,101,3316928963825133568,1237651274026254345,18.47777,6432.522,-1.014477,3.320683,6355.887,-0.9757338,18.29171,17.94936,17.89898,0.01775855,0.01666297,0.01805455,111.824805898948,37.0512604455785,19.38557,18.28759,17.96006,17.9024,17.82771,3316928963825133568,STAR,F5,3.27958E-05,2946,54506,101,0,6500,4,-1,3.728502E-05,9.89801E-06
